Title,Author,Category,Start,End,Published,Notes
The Science of Happiness,Stefan Klein,,to consider,,,
Wszyscy TO robimy. Krótka opowieść o mijaniu się z prawdą,,,to consider,,,
Radical Candor,,,to consider,,,
Bonobo i ateista,Frans de Waal,,to consider,,,
The Art of Saying No,Damon Zahariades,,to consider,,,
The Dhammapada,Buddha,,to consider,,,
The Third Wave: An Entrepreneur’s Vision of the Future,,,to consider,,,
The Power of a Positive No: How to Say No and Still Get to Yes,,,to consider,,,
The Rational Optimist: How Prosperity Evolves,,,to consider,,,
Zdeterminowany,Robert Sapolsky,Non-fiction,January 2026,abandonded,2023,
