quote,author
"People look for retreats for themselves, in the country, by the coast, or in the hills. There is nowhere that a person can find a more peaceful and trouble-free retreat than in his own mind. . . . So constantly give yourself this retreat, and renew yourself.",Marcus Aurelius
"If you dont make mistakes, you're not working on hard enough problems. And that's a big mistake.",?
"What's the most loving thing I can do for myself and others right now?",?
"Perfection is not when there is no more to add, but no more to take away.",Antoine De Saint-Exupery
"There is no way to happiness - happiness is the way.",Thich Nhat Hanh
"If I had an hour to solve a problem I'd spend 55 minutes thinking about the problem and 5 minutes thinking about solutions.",Albert Einstein
"Excellence is the next five minutes ... Forgot the long term. Make the next five minutes rock!",Tom Peters
"Work on stuff that matters.",Tim O'Reilly
"Create more value than you capture.",Tim O'Reilly
"Burnout is not the price you have to pay for success.",Arianna Huffington
"The things you own end up owning you.",Chuck Palahniuk
"If you set your goals ridiculously high and its a failure, you will fail above everyone else's success.",James Cameron
"The biggest risk is not taking any risk.",Mark Zuckerberg
"Dont let the weight of fear weigh down the joy of curiosity.",Peter Guber
"When I let go of what I am, I become what I might be.",Lao Tzu
"Anything worth doing is worth doing slowly.",Mae West
"The way to get the strongest is to lift what is optimal and not what is maximal.",Mark Bell
"If you ask the grass, the zebra is the monster and the lion is the protector.",?
"The risk to your liver is as nothing compared to the risk of social isolation.",Jimmy Carr
"It starts by standing with the poor, listening to voices unheard, and recognizing potential where others see despair.",The Acumen Manifesto
"You don't have to give your energy to every problem, every person, or every comment. Pause. Breathe. And decide if it's actually worth it.",Cory Allen
"It's remarkable how often the real problem is not what happened, but how it was communicated.",James Clear
"I would lay down my life for two brothers or eight cousins.",J.B.S. Haldane
"Before you embark on a journey of revenge, dig two graves.",Confucius
"It does not matter how slowly you go as long as you do not stop.",Confucius
"No society in human history ever suffered because its people became too reasonable.",Sam Harris
"There are many organizations that fret over small, direct expenses, yet have no misgivings about keeping superfluous staff tied up in a conference room for hours.",John Arnold
"If you can't laugh at it, you lose.",Jon Call
"It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.",Leonardo da Vinci
"The forest was shrinking but the trees kept voting for the axe, for the axe was clever and convinced the trees that because his handle was made of wood he was one of them.",Turkish proverb
"Consider how hard is to change yourself and you'll understand what little chance you have in trying to change others.",Benjamin Franklin
"The literal meaning of life is whatever you're doing that prevents you from killing yourself.",Albert Camus
"As long as we peer at the night sky, feel small, see the universe and say, Oh, wow, all that mystery, then we will drop some our nearsighted hubris.",Caroline Paul
"Obstacles are those frightful things you see when you take your eyes off your goals.",Henry Ford
"To handle yourself, use your head, to handle others, use your heart.",Eleanor Roosevelt
"Everything you've ever wanted is on the other side of fear.",George Addair
"Let the first impulse pass. Wait for the second.",Baltasar Gracian
"Emptiness is the fasting of the mind.",Zhuang Zhou
"If you think good architecture is expensive, try bad architecture.",Brian Foote & Joseph Yoder
"Everything is figure-out able.",Marie Forleo
"All good things are wild and free.",Henry David Thoreau
"We all should reassess what we think and believe constantly - in politics, in life, and in our thinking. Otherwise, we get too rigid.",Tim McGraw
"Do something you're afraid of every day.",Eleanor Roosevelt
"If you set a goal, it should meet these two conditions: 1) It matters", 2) You can influence the outcome.
"To avoid criticism, say nothing, do nothing, be nothing.",Elbert Hubbard
"Never underestimate a man who overestimates himself.",Franklin D. Roosevelt
"The amount of good things in your life depends on your ability to notice them.",?
"It's better to keep your mouth shut and appear stupid than open it and remove all doubt.",Mark Twain
"The secret to winning any game lies in not trying too hard.",W. Timothy Gallwey
"Pain is inevitable, suffering is optional.",Haruki Murakami
"Out on the edge you see all kinds of things you can't see from the center. Big, undreamed-of things - the people on the edge see them first.",Kurt Vonnegut
"Routine in an intelligent man is a sign of ambition.",W. H. Auden
"Judge a man by his questions rather than by his answers.",Pierre-Marc-Gaston
"Early to bed and early to rise makes a man healthy, wealthy, and wise.",Benjamin Franklin
"If you write a problem down clearly and specifically, you have solved half of it.",Charles Kettering
"When you take on a task, finding the best ways to achieve the desired result is always your responsibility.",Gilbert Lafayette
"If you don’t have to make a decision about something, then don’t decide.",Lucius Cary
"We'll go down in history as the first society that wouldn't save itself because it wasn't cost-effective.",Kurt Vonnegut
"All our life, so far as it has definite form, is but a mass of habits.",William James
"The devil don't come with horns. He comes with comfort, and tells you to rest before the work's done.",?
